;Fecha;Ronda;Equipo Local;Resultado Local;Equipo Visitante;Resultado Visitante;Cancha;Condición;URL;Competición
228;2010-11-16;Fecha 14;River;1;Boca;0;River Plate;V;partido/river-1-boca-0-torneo-apertura-2010/5751/2010/41/14.html;Torneo Apertura 2010
229;2011-05-15;Fecha 14;Boca;2;River;0;Boca Juniors;L;partido/boca-2-river-0-torneo-clausura-2011/5774/2011/42/14.html;Torneo Clausura 2011
230;2012-10-28;Fecha 12;River;2;Boca;2;River Plate;V;partido/river-2-boca-2-torneo-inicial-2012/5878/2012/48/12.html;Torneo Inicial 2012
231;2013-05-05;Fecha 12;Boca;1;River;1;Boca Juniors;L;partido/boca-1-river-1-torneo-final-2013/5911/2013/50/12.html;Torneo Final 2013
232;2013-10-06;Fecha 10;River;0;Boca;1;River Plate;V;partido/river-0-boca-1-torneo-inicial-2013/5935/2013/48/10.html;Torneo Inicial 2013
233;2014-03-30;Fecha 10;Boca;1;River;2;Boca Juniors;L;partido/boca-1-river-2-torneo-final-2014/5959/2014/50/10.html;Torneo Final 2014
234;2014-10-05;Fecha 10;River;1;Boca;1;River Plate;V;partido/river-1-boca-1-campeonato-2014/5984/2014/54/10.html;Campeonato 2014
235;2014-11-20;Semifinales. Partido de Ida;Boca;0;River;0;Boca Juniors;L;partido/boca-0-river-0-copa-sudamericana-2014/5995/2014/454/7.html;Copa Sudamericana 2014
236;2014-11-27;Semifinales. Partido de Vuelta;River;1;Boca;0;River Plate;V;partido/river-1-boca-0-copa-sudamericana-2014/5997/2014/454/8.html;Copa Sudamericana 2014
237;2015-05-03;Fecha 11;Boca;2;River;0;Boca Juniors;L;partido/boca-2-river-0-campeonato-2015/6022/2015/5/11.html;Campeonato 2015
238;2015-05-07;Octavos de Final. Partido de Ida;River;1;Boca;0;River Plate;V;partido/river-1-boca-0-copa-libertadores-2015/6023/2015/100/7.html;Libertadores 2015
239;2015-05-14;Octavos de Final. Partido de Vuelta;Boca;0;River;0;Boca Juniors;L;partido/boca-0-river-0-copa-libertadores-2015/6025/2015/100/8.html;Libertadores 2015
240;2015-09-13;Fecha 24;River;0;Boca;1;River Plate;V;partido/river-0-boca-1-campeonato-2015/6043/2015/5/24.html;Campeonato 2015
241;2016-03-06;Fecha 6;River;0;Boca;0;River Plate;V;partido/river-0-boca-0-campeonato-2016/6070/2016/53/6.html;Campeonato 2016
