;Fecha;Ronda;Equipo Local;Resultado Local;Equipo Visitante;Resultado Visitante;Cancha;Condición;URL;Competición
2073;1957-12-14;Fecha 30;Boca;4;Newell´s;1;Boca Juniors;L;partido/boca-4-newell_s-1-campeonato-1957/854/1957/5/30.html;Campeonato 1957
2074;1958-01-08;Amistoso;Boca;3;First Viena (Aus);2;Boca Juniors;L;partido/boca-3-first-viena-aus-2-amistosos-1958/4635/1958/2958/1.html;Amistosos 1958
2075;1958-01-12;Amistoso;Peñarol (Uru);3;Boca;0;Centenario (Montevideo);V;partido/penarol-uru-3-boca-0-amistosos-1958/4636/1958/2958/2.html;Amistosos 1958
2076;1958-01-15;Amistoso;Nacional (Uru);2;Boca;1;Centenario (Montevideo);V;partido/nacional-uru-2-boca-1-amistosos-1958/4164/1958/2958/3.html;Amistosos 1958
2077;1958-01-21;Amistoso;Boca;2;Vasco Da Gama (Bra);2;Boca Juniors;L;partido/boca-2-vasco-da-gama-bra-2-amistosos-1958/4637/1958/2958/4.html;Amistosos 1958
2078;1958-01-24;Amistoso;Boca;3;C. Córdoba (Ros.);2;Boca Juniors;L;partido/boca-3-c-cordoba-ros-2-amistosos-1958/4638/1958/2958/5.html;Amistosos 1958
2079;1958-01-28;Amistoso;Boca;1;Vasco Da Gama (Bra);1;Boca Juniors;L;partido/boca-1-vasco-da-gama-bra-1-amistosos-1958/4639/1958/2958/6.html;Amistosos 1958
2080;1958-01-31;Amistoso;Boca;2;Flamengo (Bra);4;Boca Juniors;L;partido/boca-2-flamengo-bra-4-amistosos-1958/4640/1958/2958/7.html;Amistosos 1958
2081;1958-02-05;Amistoso;Quilmes (MdP);3;Boca;4;Quilmes (Mar del Plata);V;partido/quilmes-mdp-3-boca-4-amistosos-1958/4641/1958/2958/8.html;Amistosos 1958
2082;1958-02-09;Amistoso;Nacional (Uru);3;Boca;2;Gines Cairo Medina (Uruguay);V;partido/nacional-uru-3-boca-2-amistosos-1958/4165/1958/2958/9.html;Amistosos 1958
2083;1958-02-11;Amistoso;Maldonado (Uruguay);1;Boca;4;Gines Cairo Medina (Uruguay);V;partido/maldonado-uruguay-1-boca-4-amistosos-1958/4642/1958/2958/10.html;Amistosos 1958
2084;1958-02-14;Amistoso;Boca;2;Nacional (Uru);0;Boca Juniors;L;partido/boca-2-nacional-uru-0-amistosos-1958/4166/1958/2958/11.html;Amistosos 1958
2085;1958-03-07;Amistoso;Boca;4;Gimnasia (LP);1;Huracán;L;partido/boca-4-gimnasia-lp-1-amistosos-1958/4643/1958/2958/12.html;Amistosos 1958
2086;1958-03-23;Fecha 1;Boca;1;Argentinos;1;Boca Juniors;L;partido/boca-1-argentinos-1-campeonato-1958/855/1958/7/1.html;Campeonato 1958
2087;1958-03-30;Fecha 2;Huracán;1;Boca;3;Huracán;V;partido/huracan-1-boca-3-campeonato-1958/856/1958/7/2.html;Campeonato 1958
2088;1958-04-03;Fecha 3;Boca;3;R. Central;2;Boca Juniors;L;partido/boca-3-r-central-2-campeonato-1958/857/1958/7/3.html;Campeonato 1958
2089;1958-04-20;Primera Fase. Partido 1;Tigre;0;Boca;0;Tigre;V;partido/tigre-0-boca-0-copa-suecia-1958/3105/1958/65/1.html;Copa Suecia 1958
2090;1958-04-27;Primera Fase. Partido 2;Boca;0;Newell´s;3;Boca Juniors;L;partido/boca-0-newell_s-3-copa-suecia-1958/3106/1958/65/2.html;Copa Suecia 1958
2091;1958-05-01;Amistoso;Pri. de Mayo (Luján);1;Boca;4;Jáuregui;V;partido/pri-de-mayo-lujan-1-boca-4-amistosos-1958/4644/1958/2958/13.html;Amistosos 1958
2092;1958-05-04;Primera Fase. Partido 3;Vélez;2;Boca;2;Vélez Sársfield;V;partido/velez-2-boca-2-copa-suecia-1958/3107/1958/65/3.html;Copa Suecia 1958
2093;1958-05-11;Primera Fase. Partido 4;Racing;3;Boca;2;Racing Club;V;partido/racing-3-boca-2-copa-suecia-1958/3108/1958/65/4.html;Copa Suecia 1958
2094;1958-05-18;Primera Fase. Partido 5;Boca;1;Huracán;3;Boca Juniors;L;partido/boca-1-huracan-3-copa-suecia-1958/3109/1958/65/5.html;Copa Suecia 1958
2095;1958-05-24;Amistoso;Comb. Tres Arroyos;0;Boca;0;Huracán (Tres Arroyos);V;partido/comb-tres-arroyos-0-boca-0-amistosos-1958/4645/1958/2958/14.html;Amistosos 1958
2096;1958-05-25;Amistoso;Comb. Liga del Sud;1;Boca;2;Olimpo (Bahía Blanca);V;partido/comb-liga-del-sud-1-boca-2-amistosos-1958/5675/1958/2958/15.html;Amistosos 1958
2097;1958-06-01;Primera Fase. Partido 6;C. Córdoba (Ros.);2;Boca;1;Newell´s Old Boys;V;partido/c-cordoba-ros-2-boca-1-copa-suecia-1958/3110/1958/65/6.html;Copa Suecia 1958
2098;1958-06-05;Primera Fase. Partido 7;Boca;1;Estudiantes (LP);0;Boca Juniors;L;partido/boca-1-estudiantes-lp-0-copa-suecia-1958/3111/1958/65/7.html;Copa Suecia 1958
2099;1958-06-08;Primera Fase. Partido 8;Boca;2;Tigre;3;Boca Juniors;L;partido/boca-2-tigre-3-copa-suecia-1958/3112/1958/65/8.html;Copa Suecia 1958
2100;1958-06-14;Primera Fase. Partido 9;Newell´s;1;Boca;0;Newell´s Old Boys;V;partido/newell_s-1-boca-0-copa-suecia-1958/3113/1958/65/9.html;Copa Suecia 1958
2101;1958-06-22;Primera Fase. Partido 10;Boca;1;Vélez;1;Boca Juniors;L;partido/boca-1-velez-1-copa-suecia-1958/3114/1958/65/10.html;Copa Suecia 1958
2102;1958-06-29;Primera Fase. Partido 11;Boca;0;Racing;2;Boca Juniors;L;partido/boca-0-racing-2-copa-suecia-1958/3115/1958/65/11.html;Copa Suecia 1958
2103;1958-07-06;Fecha 4;C. Córdoba (Ros.);3;Boca;2;Newell´s Old Boys;V;partido/c-cordoba-ros-3-boca-2-campeonato-1958/858/1958/7/4.html;Campeonato 1958
2104;1958-07-13;Fecha 5;Boca;1;Racing;1;Boca Juniors;L;partido/boca-1-racing-1-campeonato-1958/859/1958/7/5.html;Campeonato 1958
2105;1958-07-17;Amistoso;Boca;3;Milan (Italia);2;Boca Juniors;L;partido/boca-3-milan-italia-2-amistosos-1958/4109/1958/2958/16.html;Amistosos 1958
2106;1958-07-20;Fecha 6;Gimnasia (LP);2;Boca;2;Gimnasia y Esgrima (La Plata);V;partido/gimnasia-lp-2-boca-2-campeonato-1958/860/1958/7/6.html;Campeonato 1958
2107;1958-07-24;Amistoso;Boca;1;Milan (Italia);2;Boca Juniors;L;partido/boca-1-milan-italia-2-amistosos-1958/4110/1958/2958/17.html;Amistosos 1958
2108;1958-07-27;Fecha 7;Boca;3;Lanús;0;Boca Juniors;L;partido/boca-3-lanus-0-campeonato-1958/861/1958/7/7.html;Campeonato 1958
2109;1958-08-03;Amistoso;Boca;1;Nacional (Uru);2;Boca Juniors;L;partido/boca-1-nacional-uru-2-amistosos-1958/4167/1958/2958/18.html;Amistosos 1958
2110;1958-08-10;Fecha 8;Vélez;1;Boca;1;Vélez Sársfield;V;partido/velez-1-boca-1-campeonato-1958/862/1958/7/8.html;Campeonato 1958
2111;1958-08-12;Primera Fase. Partido 12;Huracán;3;Boca;6;Huracán;V;partido/huracan-3-boca-6-copa-suecia-1958/3116/1958/65/12.html;Copa Suecia 1958
2112;1958-08-17;Fecha 9;Boca;0;San Lorenzo;2;Vélez Sársfield;L;partido/boca-0-san-lorenzo-2-campeonato-1958/863/1958/7/9.html;Campeonato 1958
2113;1958-08-22;Primera Fase. Partido 13;Boca;1;C. Córdoba (Ros.);0;Huracán;L;partido/boca-1-c-cordoba-ros-0-copa-suecia-1958/3117/1958/65/13.html;Copa Suecia 1958
2114;1958-08-24;Fecha 10;Newell´s;1;Boca;1;Newell´s Old Boys;V;partido/newell_s-1-boca-1-campeonato-1958/864/1958/7/10.html;Campeonato 1958
2115;1958-08-31;Amistoso;Comb. Paraná;0;Boca;2;Belgrano (Paraná);V;partido/comb-parana-0-boca-2-amistosos-1958/4646/1958/2958/19.html;Amistosos 1958
2116;1958-09-07;Fecha 11;Boca;2;Atlanta;1;Boca Juniors;L;partido/boca-2-atlanta-1-campeonato-1958/865/1958/7/11.html;Campeonato 1958
2117;1958-09-14;Fecha 12;Independiente;2;Boca;1;Independiente;V;partido/independiente-2-boca-1-campeonato-1958/866/1958/7/12.html;Campeonato 1958
2118;1958-09-21;Fecha 13;Boca;2;Estudiantes (LP);1;Boca Juniors;L;partido/boca-2-estudiantes-lp-1-campeonato-1958/867/1958/7/13.html;Campeonato 1958
2119;1958-09-28;Fecha 14;River;2;Boca;2;River Plate;V;partido/river-2-boca-2-campeonato-1958/868/1958/7/14.html;Campeonato 1958
2120;1958-10-05;Fecha 15;Tigre;2;Boca;3;Vélez Sársfield;V;partido/tigre-2-boca-3-campeonato-1958/869/1958/7/15.html;Campeonato 1958
2121;1958-10-12;Fecha 16;Argentinos;1;Boca;0;Vélez Sársfield;V;partido/argentinos-1-boca-0-campeonato-1958/870/1958/7/16.html;Campeonato 1958
