;Fecha;Ronda;Equipo Local;Resultado Local;Equipo Visitante;Resultado Visitante;Cancha;Condición;URL;Competición
477;1949-05-18;50º Aniversario de Nacional;Nacional (Uru);3;Boca;3;Centenario (Montevideo);V;partido/nacional-uru-3-boca-3-amistosos-1949/4156/1949/2949/9.html;Amistosos 1949
478;1949-05-25;Amistoso;San Martín (Tuc);3;Boca;2;Atlético (Tucumán);V;partido/san-martin-tuc-3-boca-2-amistosos-1949/5447/1949/2949/10.html;Amistosos 1949
479;1949-05-26;Amistoso;Comb. Tucumán;2;Boca;3;Atlético (Tucumán);V;partido/comb-tucuman-2-boca-3-amistosos-1949/5731/1949/2949/11.html;Amistosos 1949
480;1949-07-09;Amistoso;Independiente (Pos.);1;Boca;5;Independiente (Posadas);V;partido/independiente-pos-1-boca-5-amistosos-1949/4051/1949/2949/12.html;Amistosos 1949
481;1949-07-10;Amistoso;Mitre (Posadas);1;Boca;4;Independiente (Posadas);V;partido/mitre-posadas-1-boca-4-amistosos-1949/5448/1949/2949/13.html;Amistosos 1949
482;1949-12-18;Amistoso;Atl. Sportivo (Chaco);3;Boca;4;San Lorenzo (R. Sáenz Peña, Chaco);V;partido/atl-sportivo-chaco-3-boca-4-amistosos-1949/5449/1949/2949/14.html;Amistosos 1949
483;1949-12-21;Amistoso;Liga Corrientes;2;Boca;3;Huracán (Corrientes);V;partido/liga-corrientes-2-boca-3-amistosos-1949/5450/1949/2949/15.html;Amistosos 1949
484;1949-12-27;Amistoso;Gimnasia (Mza);2;Boca;6;Gimnasia y Esgrima (Mendoza);V;partido/gimnasia-mza-2-boca-6-amistosos-1949/5451/1949/2949/16.html;Amistosos 1949
485;1949-12-29;Amistoso;Liga Mendoza;1;Boca;3;Gimnasia y Esgrima (Mendoza);V;partido/liga-mendoza-1-boca-3-amistosos-1949/5452/1949/2949/17.html;Amistosos 1949
486;1950-01-05;Amistoso;Colón (Sta. Fe);4;Boca;0;Colón (Santa Fe);V;partido/colon-sta-fe-4-boca-0-amistosos-1950/5453/1950/2950/1.html;Amistosos 1950
487;1950-03-08;Amistoso;Boca;6;Almagro;2;Boca Juniors;L;partido/boca-6-almagro-2-amistosos-1950/5454/1950/2950/2.html;Amistosos 1950
488;1950-03-12;Amistoso;Boca;5;Chacarita;1;Huracán;N;partido/boca-5-chacarita-1-amistosos-1950/5455/1950/2950/3.html;Amistosos 1950
489;1950-03-16;Amistoso;Boca;4;Independiente;1;San Lorenzo de Almagro;N;partido/boca-4-independiente-1-amistosos-1950/5456/1950/2950/4.html;Amistosos 1950
490;1950-03-19;Amistoso;Belgrano (Cba);1;Boca;3;Belgrano (Córdoba);V;partido/belgrano-cba-1-boca-3-amistosos-1950/5457/1950/2950/5.html;Amistosos 1950
