;Fecha;Ronda;Equipo Local;Resultado Local;Equipo Visitante;Resultado Visitante;Cancha;Condición;URL;Competición
3733;2005-08-07;Fecha 1;Boca;4;Gimnasia (J);1;San Lorenzo de Almagro;L;partido/boca-4-gimnasia-j-1-torneo-apertura-2005/3150/2005/41/1.html;Torneo Apertura 2005
3734;2005-08-14;Fecha 2;Boca;2;R. Central;2;Boca Juniors;L;partido/boca-2-r-central-2-torneo-apertura-2005/3151/2005/41/2.html;Torneo Apertura 2005
3735;2005-08-21;Fecha 3;Lanús;1;Boca;1;Lanús;V;partido/lanus-1-boca-1-torneo-apertura-2005/3152/2005/41/3.html;Torneo Apertura 2005
3736;2005-08-24;Final. Partido de Ida.;Boca;3;Once Caldas (Col);1;Boca Juniors;L;partido/boca-3-once-caldas-col-1-recopa-2005/3153/2005/351/1.html;Recopa 2005
3737;2005-08-28;Fecha 4;Boca;3;Instituto (Cba);0;Boca Juniors;L;partido/boca-3-instituto-cba-0-torneo-apertura-2005/3154/2005/41/4.html;Torneo Apertura 2005
3738;2005-08-31;Final. Partido de Vuelta.;Once Caldas (Col);2;Boca;1;Palogrande (Manizales);V;partido/once-caldas-col-2-boca-1-recopa-2005/3155/2005/351/2.html;Recopa 2005
3739;2005-09-07;Fecha 5;San Lorenzo;3;Boca;2;San Lorenzo de Almagro;V;partido/san-lorenzo-3-boca-2-torneo-apertura-2005/3156/2005/41/5.html;Torneo Apertura 2005
3740;2005-09-11;Fecha 6;Boca;1;Argentinos;0;Boca Juniors;L;partido/boca-1-argentinos-0-torneo-apertura-2005/3157/2005/41/6.html;Torneo Apertura 2005
3741;2005-09-18;Fecha 7;Gimnasia (LP);0;Boca;2;Gimnasia y Esgrima (La Plata);V;partido/gimnasia-lp-0-boca-2-torneo-apertura-2005/3158/2005/41/7.html;Torneo Apertura 2005
3742;2005-09-21;Octavos de Final. Partido de Ida;Cerro Porteño (Par);2;Boca;2;Defensores de Chaco (Asunción);V;partido/cerro-porteno-par-2-boca-2-copa-sudamericana-2005/3159/2005/452/1.html;Copa Sudamericana 2005
3743;2005-09-25;Fecha 8;Boca;2;Racing;0;Boca Juniors;L;partido/boca-2-racing-0-torneo-apertura-2005/3160/2005/41/8.html;Torneo Apertura 2005
3744;2005-09-29;Octavos de Final. Partido de Vuelta;Boca;5;Cerro Porteño (Par);1;Padre Ernesto Martearena (Salta);L;partido/boca-5-cerro-porteno-par-1-copa-sudamericana-2005/3161/2005/452/2.html;Copa Sudamericana 2005
3745;2005-10-02;Fecha 9;Quilmes;0;Boca;4;Quilmes;V;partido/quilmes-0-boca-4-torneo-apertura-2005/3162/2005/41/9.html;Torneo Apertura 2005
3746;2005-10-05;Fecha 10;Boca;2;Tiro Federal (Ros.);1;Boca Juniors;L;partido/boca-2-tiro-federal-ros-1-torneo-apertura-2005/3163/2005/41/10.html;Torneo Apertura 2005
3747;2005-10-16;Fecha 11;River;0;Boca;0;River Plate;V;partido/river-0-boca-0-torneo-apertura-2005/3172/2005/41/11.html;Torneo Apertura 2005
3748;2005-10-19;Cuartos de Final. Partido de Ida;Inter (Brasil);1;Boca;0;Beira Río (Porto Alegre);V;partido/inter-brasil-1-boca-0-copa-sudamericana-2005/3173/2005/452/3.html;Copa Sudamericana 2005
3749;2005-10-29;Fecha 12;Boca;2;Newell´s;1;Boca Juniors;L;partido/boca-2-newell_s-1-torneo-apertura-2005/3174/2005/41/12.html;Torneo Apertura 2005
3750;2005-11-07;Fecha 13;Banfield;1;Boca;1;Banfield;V;partido/banfield-1-boca-1-torneo-apertura-2005/3263/2005/41/13.html;Torneo Apertura 2005
3751;2005-11-10;Cuartos de Final. Partido de Vuelta;Boca;4;Inter (Brasil);1;Boca Juniors;L;partido/boca-4-inter-brasil-1-copa-sudamericana-2005/3401/2005/452/4.html;Copa Sudamericana 2005
3752;2005-11-13;Fecha 14;Boca;0;Colón (Sta. Fe);1;Boca Juniors;L;partido/boca-0-colon-sta-fe-1-torneo-apertura-2005/3428/2005/41/14.html;Torneo Apertura 2005
3753;2005-11-17;Fecha 15;Arsenal;4;Boca;1;Arsenal;V;partido/arsenal-4-boca-1-torneo-apertura-2005/3451/2005/41/15.html;Torneo Apertura 2005
3754;2005-11-20;Fecha 16;Boca;2;Vélez;0;Boca Juniors;L;partido/boca-2-velez-0-torneo-apertura-2005/3452/2005/41/16.html;Torneo Apertura 2005
3755;2005-11-23;Semifinales. Partido de Ida;Boca;2;U. Católica (Chi);2;Boca Juniors;L;partido/boca-2-u-catolica-chi-2-copa-sudamericana-2005/3453/2005/452/5.html;Copa Sudamericana 2005
3756;2005-11-27;Fecha 17;Estudiantes (LP);1;Boca;3;Gimnasia y Esgrima (La Plata);V;partido/estudiantes-lp-1-boca-3-torneo-apertura-2005/3454/2005/41/17.html;Torneo Apertura 2005
3757;2005-12-01;Semifinales. Partido de Vuelta;U. Católica (Chi);0;Boca;1;Universidad Católica (Santiago);V;partido/u-catolica-chi-0-boca-1-copa-sudamericana-2005/3455/2005/452/6.html;Copa Sudamericana 2005
3758;2005-12-06;Final. Partido de Ida.;UNAM (México);1;Boca;1;Olímpico Universitario (México);V;partido/unam-mexico-1-boca-1-copa-sudamericana-2005/3456/2005/452/7.html;Copa Sudamericana 2005
3759;2005-12-11;Fecha 18;Boca;2;Independiente;0;Boca Juniors;L;partido/boca-2-independiente-0-torneo-apertura-2005/3457/2005/41/18.html;Torneo Apertura 2005
3760;2005-12-14;Fecha 19;Olimpo (B. Blanca);1;Boca;2;Olimpo (Bahía Blanca);V;partido/olimpo-b-blanca-1-boca-2-torneo-apertura-2005/3458/2005/41/19.html;Torneo Apertura 2005
3761;2005-12-18;Final. Partido de Vuelta.;Boca;1 (4);UNAM (México);1 (3);Boca Juniors;L;partido/boca-1-4-unam-mexico-1-3-copa-sudamericana-2005/3459/2005/452/8.html;Copa Sudamericana 2005
3762;2006-01-29;Fecha 1;Gimnasia (J);2;Boca;1;Gimnasia y Esgrima (Jujuy);V;partido/gimnasia-j-2-boca-1-torneo-clausura-2006/4118/2006/42/1.html;Torneo Clausura 2006
3763;2006-02-01;Fecha 2;R. Central;1;Boca;2;Rosario Central;V;partido/r-central-1-boca-2-torneo-clausura-2006/4120/2006/42/2.html;Torneo Clausura 2006
3764;2006-02-05;Fecha 3;Boca;3;Lanús;0;Boca Juniors;L;partido/boca-3-lanus-0-torneo-clausura-2006/4141/2006/42/3.html;Torneo Clausura 2006
3765;2006-02-12;Fecha 4;Instituto (Cba);1;Boca;1;Mario Kempes (Córdoba);V;partido/instituto-cba-1-boca-1-torneo-clausura-2006/4142/2006/42/4.html;Torneo Clausura 2006
3766;2006-02-19;Fecha 5;Boca;1;San Lorenzo;2;Boca Juniors;L;partido/boca-1-san-lorenzo-2-torneo-clausura-2006/4143/2006/42/5.html;Torneo Clausura 2006
3767;2006-02-26;Fecha 6;Argentinos;1;Boca;2;Argentinos Juniors;V;partido/argentinos-1-boca-2-torneo-clausura-2006/4178/2006/42/6.html;Torneo Clausura 2006
3768;2006-03-01;Fecha 7;Boca;3;Gimnasia (LP);0;Boca Juniors;L;partido/boca-3-gimnasia-lp-0-torneo-clausura-2006/4368/2006/42/7.html;Torneo Clausura 2006
3769;2006-03-05;Fecha 8;Racing;0;Boca;3;Ciudad de La Plata;V;partido/racing-0-boca-3-torneo-clausura-2006/4511/2006/42/8.html;Torneo Clausura 2006
3770;2006-03-12;Fecha 9;Boca;3;Quilmes;1;Boca Juniors;L;partido/boca-3-quilmes-1-torneo-clausura-2006/5173/2006/42/9.html;Torneo Clausura 2006
3771;2006-03-19;Fecha 10;Tiro Federal (Ros.);0;Boca;0;Newell´s Old Boys;V;partido/tiro-federal-ros-0-boca-0-torneo-clausura-2006/5191/2006/42/10.html;Torneo Clausura 2006
